Plant_ID,Common_Name,Scientific_Name,Family,Kingdom,Division,Class,Order,Plant_Type,Life_Span,Leaf_Type,Leaf_Arrangement,Leaf_Shape,Stem_Type,Stem_Texture,Flower_Color,Flower_Type,Flowering_Season,Fruit_Type,Fruit_Color,Root_Type,Habitat,Native_Region_India,Medicinal_Uses,Culinary_Uses,Industrial_Uses,Fragrance,Toxicity_Level
1,Sandalwood,Santalum album,Santalaceae,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Tree,Perennial,Simple,Opposite,Lanceolate,Woody,Smooth,Purplish,Small clusters,Year-round,Drupe,Black,Semi-parasitic,Dry Deciduous,Karnataka/TN,Skin ailments,None,Perfume/Carving,Strong,None
2,Teak,Tectona grandis,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Fissured,White,Panicles,June-August,Drupe,Brown,Taproot,Deciduous Forest,South India,Anti-inflammatory,None,Timber,Mild,None
3,Neem,Azadirachta indica,Meliaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Compound,Alternate,Lanceolate,Woody,Rough,White,Axillary,March-May,Drupe,Yellow,Taproot,Plains,Throughout India,Antiseptic,Leaves in curries,Pesticide,Garlic-like,None
4,Banyan,Ficus benghalensis,Moraceae,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Tree,Perennial,Simple,Alternate,Ovate,Woody,Smooth,Inconspicuous,Syconium,Year-round,Fig,Red,Prop Root,All regions,India,Dysentery,None,Latex,None,None
5,Peepal,Ficus religiosa,Moraceae,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Tree,Perennial,Simple,Alternate,Cordate,Woody,Smooth,Inconspicuous,Syconium,Year-round,Fig,Purple,Taproot,All regions,India,Skin diseases,None,None,None,None
6,Flame of Forest,Butea monosperma,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Trifoliate,Alternate,Rhomboid,Woody,Rough,Orange-Red,Raceme,Feb-April,Pod,Brown,Taproot,Scrub jungles,India,Deworming,None,Dye,None,None
8,Arjun Tree,Terminalia arjuna,Combretaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Oblong,Woody,Flaky,Pale Yellow,Spikes,March-June,Fibrous,Brown,Taproot,Water bodies,Central/South India,Heart tonic,None,Tanning,None,None
10,Bamboo,Bambusa bambos,Poaceae,Plantae,Magnoliophyta,Liliopsida,Poales,Grass,Perennial,Simple,Alternate,Linear,Culm,Smooth,Greenish,Spikelet,Rare,Grain,Yellow,Rhizome,Western Ghats,India,Joint pain,Shoots,Construction,None,None
11,Malabar Nut,Justicia adhatoda,Acanthaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Simple,Opposite,Lanceolate,Woody,Smooth,White,Spikes,Winter,Capsule,Brown,Taproot,Western Ghats,India,Respiratory,None,None,Strong,None
12,Ashwagandha,Withania somnifera,Solanaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Herb,Perennial,Simple,Alternate,Ovate,Woody/Green,Tomentose,Green-Yellow,Cyme,Year-round,Berry,Red,Taproot,Dry regions,India,Stress relief,None,None,Pungent,None
13,Brahmi,Bacopa monnieri,Plantaginaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Oblanceolate,Succulent,Smooth,Pale Blue,Solitary,Year-round,Capsule,Brown,Fibrous,Wetlands,India,Memory boost,None,None,None,None
14,Tulsi,Ocimum sanctum,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Woody base,Pubescent,Purple/White,Raceme,Year-round,Nutlet,Brown,Taproot,Throughout,India,Cough/Cold,Tea/Flavor,None,Strong,None
15,Amla,Phyllanthus emblica,Phyllanthaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Compound,Alternate,Linear,Woody,Smooth,Green-Yellow,Clusters,March-May,Drupe,Green,Taproot,Deciduous,India,Vitamin C,Pickles/Jams,Hair dye,None,None
16,Aloe Vera,Aloe barbadensis,Asphodelaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Succulent,Perennial,Simple,Rosette,Ensiform,Stemless,Smooth/Spiny,Orange,Spike,Summer,Capsule,Brown,Fibrous,Semi-arid,India,Burn relief,Juice/Salad,Cosmetics,None,None
17,Curry Leaf,Murraya koenigii,Rutaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Shrub,Perennial,Compound,Alternate,Lanceolate,Woody,Smooth,White,Cyme,Summer,Berry,Black,Taproot,Scrub forest,India,Digestion,Cooking,None,Strong,None
18,Soapnut,Sapindus trifoliatus,Sapindaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Compound,Alternate,Elliptic,Woody,Rough,White,Panicle,Winter,Drupe,Brown,Taproot,Coastal,South India,Skin,None,Detergent,None,None
19,Shikakai,Senegalia rugata,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Climber,Perennial,Compound,Alternate,Linear,Thorny,Rough,Creamy,Globose,Summer,Pod,Dark Brown,Taproot,Western Ghats,India,Hair wash,None,Shampoo,None,None
20,Wild Turmeric,Curcuma aromatica,Zingiberaceae,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Herb,Perennial,Simple,Basal,Elliptic,Rhizome,Smooth,Pink,Spike,Monsoon,Capsule,Brown,Rhizome,Western Ghats,India,Antiseptic,None,Cosmetics,Camphor,None
21,Gulmohar,Delonix regia,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Oblong,Woody,Smooth,Red,Corymb,April-June,Pod,Black,Taproot,Urban,India,None,None,Ornamental,None,None
25,Night Jasmine,Nyctanthes arbor-tristis,Oleaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Tree,Perennial,Simple,Opposite,Ovate,Woody,Rough,White/Orange,Cyme,Aug-Oct,Capsule,Brown,Taproot,Forests,India,Sciatica,None,Dye,Strong,None
26,Indian Coral Tree,Erythrina variegata,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Trifoliate,Alternate,Deltoid,Thorny,Smooth,Red,Raceme,Feb-March,Pod,Black,Taproot,Coastal,India,Joint pain,None,Fencing,None,None
27,Jackfruit,Artocarpus heterophyllus,Moraceae,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Rough,Greenish,Spike,Spring,Syncarp,Yellow/Green,Taproot,Western Ghats,India,Antioxidant,Fruit/Seeds,Timber,Sweet,None
28,Cashew,Anacardium occidentale,Anacardiaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Simple,Alternate,Obovate,Woody,Rough,Pinkish,Panicle,Summer,Nut/Apple,Red/Yellow,Taproot,Coastal,India,None,Nut/Fruit,CNSL Oil,Mild,Sap Irritant
29,Areca Nut,Areca catechu,Arecaceae,Plantae,Magnoliophyta,Liliopsida,Arecales,Palm,Perennial,Pinnate,Whorled,Linear,Unbranched,Smooth,White,Spadix,Year-round,Drupe,Orange,Fibrous,Plains/Ghats,India,Digestion,Stimulant,Dye,None,None
30,Coconut,Cocos nucifera,Arecaceae,Plantae,Magnoliophyta,Liliopsida,Arecales,Palm,Perennial,Pinnate,Whorled,Linear,Unbranched,Ringed,White,Spadix,Year-round,Drupe,Green/Brown,Fibrous,Coastal,India,Hydration,Oil/Water,Coir/Shell,None,None
31,Rosewood,Dalbergia latifolia,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Compound,Alternate,Obovate,Woody,Rough,White,Panicle,Jan-March,Pod,Brown,Taproot,Western Ghats,India,None,None,High-end Furniture,None,None
32,Ebony,Diospyros ebenum,Ebenaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Blackish,Green-White,Solitary,Summer,Berry,Black,Taproot,Dry Forest,South India,None,None,Musical Instruments,None,None
33,Ironwood,Memecylon edule,Melastomataceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Ovate,Woody,Smooth,Blue,Cyme,Summer,Berry,Blue,Taproot,Coastal,India,Skin,None,Timber,None,None
35,Jamun,Syzygium cumini,Myrtaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Rough,White,Cyme,March-May,Berry,Deep Purple,Taproot,Plains,India,Diabetes,Fruit/Juice,Timber,Mild,None
36,Kokum,Garcinia indica,Clusiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Simple,Opposite,Oblong,Woody,Smooth,White,Solitary,Winter,Berry,Dark Purple,Taproot,Western Ghats,India,Acidity,Coolant/Butter,Cosmetics,None,None
37,Mangrove,Rhizophora mucronata,Rhizophoraceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,White,Cyme,Year-round,Berry,Brown,Stilt Root,Estuaries,Coastal India,None,None,Tanning,None,None
38,Silk Cotton,Bombax ceiba,Malvaceae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tree,Perennial,Palmate,Alternate,Lanceolate,Thorny,Rough,Red,Solitary,Jan-March,Capsule,Brown,Taproot,Deciduous,India,Skin,Flowers used,Kapok fiber,None,None
39,Karanja,Millettia pinnata,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Compound,Alternate,Ovate,Woody,Smooth,White/Purple,Raceme,April-June,Pod,Brown,Taproot,Riverbanks,India,Skin,None,Biodiesel,Mild,None
40,Mahua,Madhuca longifolia,Sapotaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Fissured,Creamy,Clusters,Feb-April,Berry,Green/Yellow,Taproot,Plains,India,Arthritis,Flowers/Oil,Liquor,Pungent,None
41,Lantana,Lantana camara,Verbenaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Simple,Opposite,Ovate,Square,Rough,Multicolor,Umbel,Year-round,Drupe,Black,Taproot,Scrub,India,None,None,None,Pungent,Berries Toxic
42,Touch-me-not,Mimosa pudica,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Perennial,Compound,Alternate,Linear,Prickly,Smooth,Pink,Globose,Year-round,Pod,Brown,Taproot,Wasteland,India,Piles,None,None,None,None
43,Indian Borage,Coleus amboinicus,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Succulent,Pubescent,Purple,Spike,Year-round,Nutlet,Brown,Fibrous,Gardens,India,Cold/Cough,Flavoring,None,Strong,None
44,Betel Leaf,Piper betle,Piperaceae,Plantae,Magnoliophyta,Magnoliopsida,Piperales,Climber,Perennial,Simple,Alternate,Cordate,Soft,Smooth,White,Spadix,Year-round,Berry,Red,Adventitious,Ghats/Plains,India,Digestion,Mouth freshener,None,Mild,None
45,Ginger,Zingiber officinale,Zingiberaceae,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Herb,Perennial,Simple,Alternate,Linear,Rhizome,Smooth,Green-Yellow,Spike,Summer,Capsule,Brown,Rhizome,Western Ghats,India,Nausea,Spice,None,Spicy,None
46,Cardamom,Elettaria cardamomum,Zingiberaceae,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Herb,Perennial,Simple,Alternate,Lanceolate,Pseudostem,Smooth,White/Blue,Panicle,Year-round,Capsule,Green,Rhizome,Western Ghats,India,Digestion,Spice,None,Aromatic,None
47,Pepper Vine,Piper nigrum,Piperaceae,Plantae,Magnoliophyta,Magnoliopsida,Piperales,Climber,Perennial,Simple,Alternate,Ovate,Woody,Smooth,White,Spike,Monsoon,Drupe,Black,Adventitious,Western Ghats,India,Digestion,Spice,None,Mild,None
48,Coffee,Coffea arabica,Rubiaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,White,Clusters,Summer,Berry,Red,Taproot,Western Ghats,India,None,Beverage,Caffeine,Mild,None
49,Rubber Tree,Ficus elastica,Moraceae,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,Inconspicuous,Syconium,Year-round,Fig,Yellow-Green,Taproot,Gardens/Forest,India,None,None,Rubber,None,Sap Irritant
50,Yellow Bells,Tecoma stans,Bignoniaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Compound,Opposite,Lanceolate,Woody,Smooth,Yellow,Trumpet-like,Year-round,Pod,Brown,Taproot,Urban,India,Diabetes,None,Ornamental,Mild,None
51,Red Cedar,Toona ciliata,Meliaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Pinnate,Alternate,Lanceolate,Woody,Rough,White,Panicles,March-May,Capsule,Brown,Taproot,Western Ghats,South India,Fever relief,None,Timber,Sweet,None
52,Indian Willow,Salix tetrasperma,Salicaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Simple,Alternate,Lanceolate,Woody,Fissured,Yellowish,Catkins,Feb-April,Capsule,Brown,Taproot,Riverbanks,India,Pain relief,None,Basketry,None,None
53,Wild Guava,Careya arborea,Lecythidaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Obovate,Woody,Thick,White-Pink,Solitary,March-May,Berry,Green,Taproot,Deciduous,India,Snakebite,Fruit eaten,Tanning,Pungent,None
54,Bullock's Heart,Annona reticulata,Annonaceae,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Tree,Perennial,Simple,Alternate,Lanceolate,Woody,Smooth,Green-Yellow,Clusters,Summer,Aggregate,Brownish-Red,Taproot,Plains,India,Dysentery,Fruit,None,None,None
56,White Dammar,Vateria indica,Dipterocarpaceae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,White,Panicles,Jan-March,Capsule,Brown,Taproot,Western Ghats,Karnataka,Asthma,None,Resin/Incense,Strong,None
57,Black Dammar,Canarium strictum,Burseraceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Compound,Alternate,Ovate,Woody,Rough,Yellowish,Panicles,Feb-April,Drupe,Blue-Black,Taproot,Western Ghats,South India,Skin diseases,None,Resin,Balsamic,None
58,Indian Frankincense,Boswellia serrata,Burseraceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Pinnate,Alternate,Lanceolate,Woody,Papery,White,Racemes,Feb-April,Drupe,Green,Taproot,Dry Hills,India,Arthritis,None,Incense,Strong,None
59,Devil's Tree,Alstonia scholaris,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Tree,Perennial,Simple,Whorled,Oblong,Woody,Smooth,Green-White,Cyme,Oct-Dec,Follicle,Brown,Taproot,Plains,India,Malaria,None,Slate boards,Strong,Latex Toxic
60,Indian Laburnum,Cassia javanica,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Pinnate,Alternate,Oval,Woody,Smooth,Pink,Racemes,April-June,Pod,Dark Brown,Taproot,Gardens,India,None,None,Ornamental,Mild,None
62,Star Gooseberry,Phyllanthus acidus,Phyllanthaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Simple,Alternate,Ovate,Woody,Smooth,Pinkish,Racemes,Year-round,Drupe,Pale Yellow,Taproot,Home gardens,South India,Blood purifier,Pickles,None,None,None
63,Java Plum,Syzygium jambos,Myrtaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Lanceolate,Woody,Smooth,Creamy White,Cyme,Spring,Berry,Yellow,Taproot,Western Ghats,India,Diabetes,Fruit,None,Rose-like,None
64,Indian Medlar,Mimusops elengi,Sapotaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Rough,White,Solitary,March-July,Berry,Orange,Taproot,Coastal,India,Dental care,Fruit,Perfumery,Very Strong,None
65,Alexandrian Laurel,Calophyllum inophyllum,Calophyllaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,White,Racemes,Year-round,Drupe,Green-Yellow,Taproot,Coastal,India,Skin/Ulcers,None,Biodiesel,Sweet,None
66,Indian Tulip Tree,Thespesia populnea,Malvaceae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tree,Perennial,Simple,Alternate,Cordate,Woody,Fissured,Yellow/Red,Solitary,Year-round,Capsule,Brown,Taproot,Coastal,India,Skin diseases,None,Boat building,None,None
67,Portia Tree,Milo,Malvaceae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tree,Perennial,Simple,Alternate,Heart-shaped,Woody,Smooth,Yellow,Bell-shaped,Year-round,Capsule,Black,Taproot,Coastal,South India,Antiseptic,None,Timber,None,None
68,Cutch Tree,Senegalia catechu,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Linear,Thorny,Rough,Pale Yellow,Spikes,May-July,Pod,Brown,Taproot,Dry Forest,India,Sore throat,Katha in Paan,Tanning,None,None
69,Babool,Acacia nilotica,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Linear,Thorny,Dark Rough,Golden Yellow,Globose,Aug-Dec,Pod,Grey,Taproot,Arid regions,India,Gums/Teeth,None,Gum Arabic,None,None
70,White Bark Acacia,Acacia leucophloea,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Linear,Thorny,White/Grey,Pale Yellow,Globose,Aug-Oct,Pod,Brown,Taproot,Dry Deciduous,India,Astringent,None,Alcohol clarify,None,None
